Country_Code,Year,WB_Pubs
EUU,1999,277469.44
EUU,1998,278593.71
EUU,1997,276007.01
EUU,1996,262891.05
FCS,2022,52346.56
FCS,2021,50823.28
FCS,2020,42063.61
FCS,2019,36627.28
FCS,2018,28083.75
FCS,2017,23190.37
FCS,2016,19725.95
FCS,2015,18012.88
FCS,2014,17765.84
FCS,2013,16866.54
FCS,2012,15943.06
FCS,2011,15190.6163747326
FCS,2010,14699.7359931301
FCS,2009,13661.5344938749
FCS,2008,12912.0397113116
FCS,2007,11858.9055078985
FCS,2006,11422.2256733109
FCS,2005,11460.4411123401
FCS,2004,10480.3216164002
FCS,2003,10299.0860846113
FCS,2002,9972.00028163252
FCS,2001,10550.5196820865
FCS,2000,9217.14391993906
FCS,1999,8995.98513176692
FCS,1998,9604.01422172781
FCS,1997,9352.62040948598
FCS,1996,8622.04294812486
HPC,2022,19426.27
HPC,2021,16850.66
HPC,2020,13352.79
HPC,2019,10610.82
HPC,2018,9120.81
HPC,2017,7907.05
HPC,2016,6873.18
HPC,2015,6098.63
HPC,2014,5624.52
HPC,2013,4955.01
HPC,2012,4538.04
HPC,2011,4174.18830735732
HPC,2010,3735.64805638322
HPC,2009,3350.55381213559
HPC,2008,3089.20103432061
HPC,2007,2971.11486471556
HPC,2006,2585.75883847192
HPC,2005,2331.6284855911
HPC,2004,2077.5081339048
HPC,2003,1935.47910640936
HPC,2002,1730.67702713888
HPC,2001,1603.70545891378
HPC,2000,1524.29943205294
HPC,1999,1656.55213007223
HPC,1998,1624.67014072986
HPC,1997,1568.63147391175
HPC,1996,1441.0329636367
IBD,2022,1696518.88682578
IBD,2021,1557260.28149642
IBD,2020,1374849.28733096
IBD,2019,1272303.91217058
IBD,2018,1121732.64617267
IBD,2017,1000067.13476437
IBD,2016,931190.03
IBD,2015,857635.58
IBD,2014,808159.21
IBD,2013,748629.229999999
IBD,2012,703316.43
IBD,2011,674297.29
IBD,2010,627305.588429484
IBD,2009,576586.052767898
IBD,2008,512036.091928268
IBD,2007,448527.912231928
IBD,2006,409490.895529596
IBD,2005,362867.477789547
IBD,2004,300459.660437168
IBD,2003,252774.961139526
IBD,2002,229464.38047483
IBD,2001,213920.170343329
IBD,2000,183892.523219272
IBD,1999,169541.217039369
IBD,1998,166017.999529629
IBD,1997,155191.931613948
IBD,1996,147327.347005738
IBT,2022,1766789.83728882
IBT,2021,1623683.70277177
IBT,2020,1427789.24232344
IBT,2019,1317872.99597018
IBT,2018,1158090.27765089
IBT,2017,1032045.24586851
IBT,2016,958868.27
IBT,2015,881613.4
IBT,2014,830895.09
IBT,2013,769339.53
IBT,2012,722706.89
IBT,2011,692608.525031131
IBT,2010,644161.025374301
IBT,2009,591560.451644807
IBT,2008,525099.209928335
IBT,2007,460344.873911842
IBT,2006,419915.539808995
IBT,2005,372063.360283021
IBT,2004,308240.328425449
IBT,2003,259804.322977653
IBT,2002,235893.299255733
IBT,2001,220013.347442796
IBT,2000,189560.414365227
IBT,1999,175172.208392332
IBT,1998,171430.796987456
IBT,1997,160578.156938705
IBT,1996,152326.462649173
IDB,2022,39179.71
IDB,2021,37310.13
IDB,2020,30504.98
IDB,2019,26582.11
IDB,2018,21529.48
IDB,2017,18955.2
IDB,2016,16324.64
IDB,2015,14366.83
IDB,2014,13525.9
IDB,2013,12662.92
IDB,2012,11786.5
IDB,2011,11637.1
IDB,2010,10677.4
IDB,2009,9557.84
IDB,2008,8084.59582195128
IDB,2007,7208.72226956767
IDB,2006,6377.80926659505
IDB,2005,5658.42995519793
IDB,2004,4668.81592846751
IDB,2003,4185.2832774164
IDB,2002,3951.96337550199
IDB,2001,3717.90611400627
