Country_Code,Year,Total_Docs_OA
HRV,1999,2054
SVN,1999,2045
THA,1999,1947
VEN,1999,1854
CUB,1999,1822
SAU,1999,1765
IRN,1999,1690
MAR,1999,1629
MYS,1999,1544
PAK,1999,1440
SRB,1999,1354
NGA,1999,1334
TUN,1999,1265
IDN,1999,1240
BLR,1999,1169
PER,1999,1121
VNM,1999,832
PRI,1999,817
BGD,1999,809
PHL,1999,799
EST,1999,789
KEN,1999,784
LTU,1999,771
KWT,1999,725
DZA,1999,716
LVA,1999,672
CRI,1999,571
JOR,1999,566
ARM,1999,512
URY,1999,457
LBN,1999,456
ETH,1999,454
SSD,1999,450
LKA,1999,432
GHA,1999,410
CMR,1999,391
UZB,1999,382
TZA,1999,381
LUX,1999,345
ARE,1999,344
ISL,1999,337
ZWE,1999,336
QAT,1999,333
UGA,1999,317
CYP,1999,311
BOL,1999,309
OMN,1999,295
TJK,1999,295
GEO,1999,282
NPL,1999,277
MMR,1999,269
KAZ,1999,242
CIV,1999,238
PAN,1999,229
SEN,1999,227
MDA,1999,218
VGB,1999,218
ECU,1999,210
GTM,1999,208
JAM,1999,206
MKD,1999,190
NER,1999,190
MLT,1999,187
MOZ,1999,187
AZE,1999,162
BDI,1999,159
SDN,1999,153
KHM,1999,149
IRQ,1999,146
BIH,1999,139
MNG,1999,136
BWA,1999,134
SLV,1999,133
ZMB,1999,129
SYR,1999,128
DOM,1999,124
BEN,1999,121
GLP,1999,118
MLI,1999,116
BFA,1999,113
BHR,1999,109
MWI,1999,109
REU,1999,109
TTO,1999,107
MDG,1999,101
BRN,1999,99
GMB,1999,94
PRY,1999,94
BLZ,1999,84
NIC,1999,83
YEM,1999,83
PNG,1999,82
HND,1999,79
ALB,1999,75
PSE,1999,73
GNB,1999,72
BRB,1999,71
GAB,1999,63
MUS,1999,63
COD,1999,62
LAO,1999,60
LBY,1999,54
MCO,1999,54
MNE,1999,53
LIE,1999,51
GUM,1999,49
CUW,1999,48
TGO,1999,47
FJI,1999,46
MTQ,1999,46
NCL,1999,45
COG,1999,44
GUF,1999,44
GIN,1999,35
MAC,1999,35
KGZ,1999,34
NAM,1999,33
GIB,1999,32
PYF,1999,31
STP,1999,27
SOM,1999,26
SWZ,1999,25
AGO,1999,22
IMN,1999,22
GRL,1999,21
RWA,1999,19
SLE,1999,16
BHS,1999,14
ERI,1999,14
TKM,1999,14
KNA,1999,13
TCD,1999,13
VUT,1999,13
ASM,1999,12
BMU,1999,12
LSO,1999,12
MRT,1999,12
VIR,1999,12
WSM,1999,12
CAF,1999,11
JEY,1999,11
FRO,1999,10
GUY,1999,10
PRK,1999,10
CYM,1999,9
VAT,1999,9
AFG,1999,8
SJM,1999,8
TON,1999,8
GRD,1999,6
LBR,1999,6
MDV,1999,6
SMR,1999,6
SUR,1999,6
ATG,1999,5
USA,2005,648287
CHN,2005,286141
GBR,2005,165114
JPN,2005,150201
DEU,2005,139012
FRA,2005,131679
CAN,2005,84328
ITA,2005,68869
ESP,2005,59398
AUS,2005,56476
BRA,2005,46595
NLD,2005,43160
KOR,2005,41732
IND,2005,40819
RUS,2005,36352
POL,2005,34873
TWN,2005,30856
CHE,2005,30268
BEL,2005,28160
SWE,2005,26909
TUR,2005,20208
MEX,2005,18170
ISR,2005,17316
AUT,2005,16219
GRC,2005,14988
DNK,2005,14756
HKG,2005,13360
FIN,2005,13228
SGP,2005,12617
CZE,2005,12176
NOR,2005,12100
PRT,2005,10894
IRL,2005,10134
ARG,2005,10117
NZL,2005,10003
HUN,2005,9701
ZAF,2005,9588
IRN,2005,9222
UKR,2005,6892
CHL,2005,6613
EGY,2005,6412
COL,2005,6163
THA,2005,5684
ROU,2005,4542
MYS,2005,4347
SVK,2005,4305
NGA,2005,4169
SVN,2005,4138
IDN,2005,3862
HRV,2005,3778
BGR,2005,3693
TUN,2005,3670
PAK,2005,3405
SRB,2005,3405
VEN,2005,3282
CUB,2005,3015
MAR,2005,2551
SAU,2005,2294
DZA,2005,2156
LTU,2005,2105
BLR,2005,2078
PER,2005,1950
KEN,2005,1763
VNM,2005,1751
EST,2005,1522
BGD,2005,1484
PRI,2005,1378
PHL,2005,1308
LVA,2005,1259
CRI,2005,1157
ARE,2005,1154
ETH,2005,1149
JOR,2005,1112
LBN,2005,1073
URY,2005,1067
TZA,2005,997
LUX,2005,988
CYP,2005,964
GHA,2005,912
UGA,2005,908
KWT,2005,907
LKA,2005,882
CMR,2005,781
ARM,2005,730
ISL,2005,700
IRQ,2005,689
QAT,2005,681
SEN,2005,643
BOL,2005,636
NPL,2005,613
UZB,2005,592
SSD,2005,534
KAZ,2005,529
CIV,2005,519
VGB,2005,502
GEO,2005,500
MMR,2005,480
ECU,2005,470
OMN,2005,465
MKD,2005,438
AZE,2005,421
PAN,2005,406
MDA,2005,403
BEN,2005,385
MNG,2005,383
BIH,2005,372
ZWE,2005,370
TJK,2005,360
BWA,2005,319
JAM,2005,318
NER,2005,313
MOZ,2005,311
MLI,2005,308
GTM,2005,292
MLT,2005,288
SDN,2005,283
BDI,2005,280
GUF,2005,278
ZMB,2005,272
REU,2005,271
KHM,2005,261
MWI,2005,260
PRY,2005,247
SYR,2005,247
BFA,2005,243
TTO,2005,235
MAC,2005,228
GLP,2005,216
PSE,2005,216
SLV,2005,207
BHR,2005,204
MNE,2005,201
YEM,2005,196
NIC,2005,191
DOM,2005,166
MDG,2005,164
COG,2005,148
ALB,2005,141
RWA,2005,139
BRN,2005,136
FJI,2005,133
BLZ,2005,124
GAB,2005,123
LBY,2005,118
HND,2005,114
NCL,2005,114
MUS,2005,105
GMB,2005,104
COD,2005,100
BRB,2005,98
GUM,2005,95
TGO,2005,94
MCO,2005,93
MDV,2005,91
NAM,2005,91
STP,2005,88
AGO,2005,86
MTQ,2005,83
KGZ,2005,81
PNG,2005,80
LAO,2005,75
PYF,2005,70
CUW,2005,67
AFG,2005,56
LIE,2005,55
GNB,2005,46
ERI,2005,45
GRL,2005,44
MRT,2005,41
SOM,2005,41
SWZ,2005,39
BMU,2005,38
SLE,2005,37
TCD,2005,36
CAF,2005,35
GIN,2005,34
LBR,2005,32
FRO,2005,30
LSO,2005,29
GUY,2005,28
PRK,2005,28
VIR,2005,28
KNA,2005,27
BHS,2005,25
VUT,2005,25
VAT,2005,24
GRD,2005,23
FLK,2005,20
GIB,2005,20
HTI,2005,19
PLW,2005,19
IMN,2005,18
SJM,2005,17
TKM,2005,16
BTN,2005,15
CPV,2005,15
SMR,2005,15
ATG,2005,14
JEY,2005,14
USA,2004,596849
CHN,2004,207796
GBR,2004,152871
JPN,2004,144121
DEU,2004,135096
FRA,2004,117079
CAN,2004,74077
ITA,2004,64506
ESP,2004,54433
AUS,2004,51007
BRA,2004,41657
NLD,2004,38719
KOR,2004,36902
RUS,2004,35842
IND,2004,35079
POL,2004,33053
CHE,2004,28201
TWN,2004,26792
BEL,2004,25727
SWE,2004,25053
TUR,2004,18853
ISR,2004,17272
MEX,2004,16824
AUT,2004,15254
DNK,2004,13863
GRC,2004,12978
HKG,2004,12596
FIN,2004,12440
CZE,2004,11565
SGP,2004,11237
NOR,2004,10521
PRT,2004,9449
ARG,2004,9113
ZAF,2004,8764
NZL,2004,8696
HUN,2004,8506
IRL,2004,8306
UKR,2004,7395
IRN,2004,6950
CHL,2004,5929
EGY,2004,5518
COL,2004,4838
THA,2004,4546
SVK,2004,4106
ROU,2004,4071
MYS,2004,3901
SVN,2004,3873
HRV,2004,3660
NGA,2004,3648
BGR,2004,3448
IDN,2004,3200
SRB,2004,3008
TUN,2004,2907
VEN,2004,2728
CUB,2004,2548
PAK,2004,2543
SAU,2004,2449
MAR,2004,2316
DZA,2004,2246
LTU,2004,1993
BLR,2004,1818
KEN,2004,1776
PER,2004,1711
VNM,2004,1636
EST,2004,1388
BGD,2004,1283
PRI,2004,1234
PHL,2004,1200
ETH,2004,1069
CRI,2004,1064
LVA,2004,1036
ARE,2004,1022
LBN,2004,934
JOR,2004,930
URY,2004,905
TZA,2004,902
UGA,2004,855
GHA,2004,826
LUX,2004,790
KWT,2004,776
CYP,2004,748
CMR,2004,742
LKA,2004,724
ARM,2004,678
ISL,2004,656
QAT,2004,619
NPL,2004,560
UZB,2004,558
SEN,2004,547
BOL,2004,525
OMN,2004,508
KAZ,2004,474
CIV,2004,436
ECU,2004,432
VGB,2004,415
GEO,2004,406
SSD,2004,394
MKD,2004,393
MMR,2004,370
MNG,2004,370
ZWE,2004,365
AZE,2004,363
PAN,2004,360
BEN,2004,344
BIH,2004,330
TJK,2004,321
JAM,2004,319
MOZ,2004,294
MDA,2004,292
NER,2004,292
BDI,2004,272
SYR,2004,270
MLI,2004,263
KHM,2004,260
BWA,2004,253
ZMB,2004,253
SDN,2004,252
GUF,2004,246
GTM,2004,244
MWI,2004,231
IRQ,2004,228
BFA,2004,224
REU,2004,220
SLV,2004,218
BHR,2004,212
MNE,2004,207
GLP,2004,198
PSE,2004,192
TTO,2004,191
MLT,2004,190
NIC,2004,179
YEM,2004,172
PRY,2004,162
MAC,2004,158
DOM,2004,152
RWA,2004,149
MDG,2004,136
ALB,2004,132
COG,2004,131
BRB,2004,122
BLZ,2004,121
GAB,2004,118
FJI,2004,110
MUS,2004,103
HND,2004,102
GMB,2004,99
TGO,2004,92
LBY,2004,90
MDV,2004,90
BRN,2004,89
MCO,2004,87
NCL,2004,86
COD,2004,83
STP,2004,83
PNG,2004,79
NAM,2004,77
LAO,2004,75
GNB,2004,74
AGO,2004,73
GRL,2004,67
CUW,2004,66
AFG,2004,61
LIE,2004,60
KGZ,2004,58
MTQ,2004,58
PYF,2004,55
BMU,2004,50
SWZ,2004,50
SOM,2004,45
GIN,2004,42
GUM,2004,42
VIR,2004,41
CAF,2004,36
LSO,2004,32
ERI,2004,31
SYC,2004,31
BHS,2004,30
MRT,2004,30
TKM,2004,28
LBR,2004,27
TCD,2004,26
CYM,2004,25
SLE,2004,24
GRD,2004,20
PRK,2004,20
GIB,2004,19
FRO,2004,18
ASM,2004,17
MSR,2004,17
CPV,2004,16
VAT,2004,16
GNQ,2004,15
IMN,2004,15
SUR,2004,15
GUY,2004,14
KNA,2004,14
SJM,2004,14
FLK,2004,13
TON,2004,13
USA,2003,593803
GBR,2003,150485
JPN,2003,147422
CHN,2003,131887
DEU,2003,127223
FRA,2003,104834
CAN,2003,71280
ITA,2003,62080
ESP,2003,50112
AUS,2003,48427
NLD,2003,37074
BRA,2003,36936
RUS,2003,36314
KOR,2003,34021
IND,2003,32915
POL,2003,30283
CHE,2003,26541
TWN,2003,25932
SWE,2003,25030
BEL,2003,23782
ISR,2003,17063
TUR,2003,15734
MEX,2003,15502
AUT,2003,14235
DNK,2003,13044
GRC,2003,12348
FIN,2003,12275
HKG,2003,12163
CZE,2003,10533
SGP,2003,10058
NOR,2003,9941
PRT,2003,8905
HUN,2003,8392
ARG,2003,8312
NZL,2003,8176
ZAF,2003,8071
IRL,2003,6950
